"movie_id","original_title","required_filename","year","status","note"
"87","Searching for Bobby Fischer (1993)","Searching for Bobby Fischer（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/oAJpHkMpfXiFY9F3HocIz9fhHLc.jpg"
"88","Sleepless in Seattle (1993)","Sleepless in Seattle（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg"
"89","Blade Runner (1982)","Blade Runner（1982）.jpg","1982","downloaded","https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg"
"90","So I Married an Axe Murderer (1993)","So I Married an Axe Murderer（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/zQlpQDKDADKlgqfMs1E191ofDJU.jpg"
"91","Nightmare Before Christmas, The (1993)","Nightmare Before Christmas The（1993）.jpg","1993","exists","File already exists"
"92","True Romance (1993)","True Romance（1993）.jpg","1993","exists","File already exists"
"93","Welcome to the Dollhouse (1995)","Welcome to the Dollhouse（1995）.jpg","1995","downloaded","https://image.tmdb.org/t/p/w500/fsMMOVto87pvUQyozOF9CaT9aMR.jpg"
"94","Home Alone (1990)","Home Alone（1990）.jpg","1990","exists","File already exists"
"95","Aladdin (1992)","Aladdin（1992）.jpg","1992","exists","File already exists"
"96","Terminator 2: Judgment Day (1991)","Terminator 2 Judgment Day（1991）.jpg","1991","exists","File already exists"
"97","Dances with Wolves (1990)","Dances with Wolves（1990）.jpg","1990","exists","File already exists"
"98","Silence of the Lambs, The (1991)","Silence of the Lambs The（1991）.jpg","1991","downloaded","https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg"
"99","Snow White and the Seven Dwarfs (1937)","Snow White and the Seven Dwarfs（1937）.jpg","1937","exists","File already exists"
"100","Fargo (1996)","Fargo（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg"
"101","Heavy Metal (1981)","Heavy Metal（1981）.jpg","1981","exists","File already exists"
"102","Aristocats, The (1970)","Aristocats The（1970）.jpg","1970","exists","File already exists"
"103","All Dogs Go to Heaven 2 (1996)","All Dogs Go to Heaven 2（1996）.jpg","1996","exists","File already exists"
"104","Theodore Rex (1995)","Theodore Rex（1995）.jpg","1995","downloaded","https://image.tmdb.org/t/p/w500/fUUbOE91SK4GCpiyftEY5USjCh1.jpg"
"105","Sgt. Bilko (1996)","Sgt Bilko（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/q4zmVdQq35ZBj8uyxsU2RCPOQxo.jpg"
"106","Diabolique (1996)","Diabolique（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/zSW4A35r7Vpz0ainYJGb2QVwCh0.jpg"
"107","Moll Flanders (1996)","Moll Flanders（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/lHVpzsvjLU7qSCB8UWFqIAavSRu.jpg"
"108","Kids in the Hall: Brain Candy (1996)","Kids in the Hall Brain Candy（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/j7LYkIa2KC98ZqZmFIjEmtvlv87.jpg"
"109","Mystery Science Theater 3000: The Movie (1996)","Mystery Science Theater 3000 The Movie（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/tlakU3uwNiUgd7aOlb2RoAsGTnY.jpg"
"110","Operation Dumbo Drop (1995)","Operation Dumbo Drop（1995）.jpg","1995","downloaded","https://image.tmdb.org/t/p/w500/qIJlpbMCKg9O1C7gaiyDFaUWf9b.jpg"
"111","Truth About Cats & Dogs, The (1996)","Truth About Cats Dogs The（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/iECTzpGdAMrkEeoYvuYsCxdmW2G.jpg"
"112","Flipper (1996)","Flipper（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/c3KEzecZ5oE6CpSrWX6wCLrBJbf.jpg"
"113","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Horseman on the Roof The Hussard sur le toit Le（1995）.jpg","1995","downloaded","https://image.tmdb.org/t/p/w500/tsmwnxi8hGXQTNVqBRCAVsfeGON.jpg"
"114","Wallace & Gromit: The Best of Aardman Animation (1996)","Wallace Gromit The Best of Aardman Animation（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/tWkYclnnChwoMMBFECsEjd5hb77.jpg"
"115","Haunted World of Edward D. Wood Jr., The (1995)","Haunted World of Edward D Wood Jr The（1995）.jpg","1995","downloaded","https://image.tmdb.org/t/p/w500/gWbwYJIRisTiur9aqMQKSHkiGTB.jpg"
"116","Cold Comfort Farm (1995)","Cold Comfort Farm（1995）.jpg","1995","exists","File already exists"
"117","Rock, The (1996)","Rock The（1996）.jpg","1996","exists","File already exists"
"118","Twister (1996)","Twister（1996）.jpg","1996","exists","File already exists"
"119","Maya Lin: A Strong Clear Vision (1994)","Maya Lin A Strong Clear Vision（1994）.jpg","1994","exists","File already exists"
"120","Striptease (1996)","Striptease（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/4zMy6R7acotCmGoDk4sjzRtDwKn.jpg"
"121","Independence Day (ID4) (1996)","Independence Day ID4（1996）.jpg","1996","exists","File already exists"
"122","Cable Guy, The (1996)","Cable Guy The（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/YJt9l3RdrRohI95btQKPXwpdii.jpg"
"123","Frighteners, The (1996)","Frighteners The（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/zcJbCMwFLJdn5OLjhYwMVaSB32R.jpg"
"124","Lone Star (1996)","Lone Star（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/lBxY8znsRoqa9Dy2NCe8I6GPsRm.jpg"
"125","Phenomenon (1996)","Phenomenon（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/5eK1HNf0Kl2vDPOeqf1kX4SKxrw.jpg"
"126","Spitfire Grill, The (1996)","Spitfire Grill The（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/8msETDMD6sxIkN3YtIFbCy23CBP.jpg"
"127","Godfather, The (1972)","Godfather The（1972）.jpg","1972","downloaded","https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg"
"128","Supercop (1992)","Supercop（1992）.jpg","1992","exists","File already exists"
"129","Bound (1996)","Bound（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/9qAy6UWVw44dGrsyKrdEMt5qIUM.jpg"
"130","Kansas City (1996)","Kansas City（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/deD8SAbQYGvzcpRr50HUb9uj8xJ.jpg"
"131","Breakfast at Tiffany's (1961)","Breakfast at Tiffanys（1961）.jpg","1961","downloaded","https://image.tmdb.org/t/p/w500/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg"
"132","Wizard of Oz, The (1939)","Wizard of Oz The（1939）.jpg","1939","exists","File already exists"
"133","Gone with the Wind (1939)","Gone with the Wind（1939）.jpg","1939","downloaded","https://image.tmdb.org/t/p/w500/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg"
"134","Citizen Kane (1941)","Citizen Kane（1941）.jpg","1941","downloaded","https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg"
"135","2001: A Space Odyssey (1968)","2001 A Space Odyssey（1968）.jpg","1968","downloaded","https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg"
"136","Mr. Smith Goes to Washington (1939)","Mr Smith Goes to Washington（1939）.jpg","1939","downloaded","https://image.tmdb.org/t/p/w500/nDjg1fbNyq15excNDl3acd2IqAk.jpg"
"137","Big Night (1996)","Big Night（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/8AJGSDyrj3Dz2B57n1ZB4qNPbmJ.jpg"
"138","D3: The Mighty Ducks (1996)","D3 The Mighty Ducks（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/wltMr1loUKSCaEV4EDgh21eCRI3.jpg"
"139","Love Bug, The (1969)","Love Bug The（1969）.jpg","1969","exists","File already exists"
"140","Homeward Bound: The Incredible Journey (1993)","Homeward Bound The Incredible Journey（1993）.jpg","1993","exists","File already exists"
"141","20,000 Leagues Under the Sea (1954)","20000 Leagues Under the Sea（1954）.jpg","1954","exists","File already exists"
"142","Bedknobs and Broomsticks (1971)","Bedknobs and Broomsticks（1971）.jpg","1971","exists","File already exists"
"143","Sound of Music, The (1965)","Sound of Music The（1965）.jpg","1965","downloaded","https://image.tmdb.org/t/p/w500/c6CrUZypAsBCaRWX0M3RVRDbhNS.jpg"
"144","Die Hard (1988)","Die Hard（1988）.jpg","1988","exists","File already exists"
"145","Lawnmower Man, The (1992)","Lawnmower Man The（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/1VLqWcel87oYVmN383FgSH0mCTY.jpg"
"146","Unhook the Stars (1996)","Unhook the Stars（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/xDa7qRS8iOY5XDvt0DRpwlAJO6H.jpg"
"147","Long Kiss Goodnight, The (1996)","Long Kiss Goodnight The（1996）.jpg","1996","exists","File already exists"
"148","Ghost and the Darkness, The (1996)","Ghost and the Darkness The（1996）.jpg","1996","exists","File already exists"
"149","Jude (1996)","Jude（1996）.jpg","1996","downloaded","https://image.tmdb.org/t/p/w500/pK7hcjrvgRisQC7i1XwiA1B97sJ.jpg"
"150","Swingers (1996)","Swingers（1996）.jpg","1996","exists","File already exists"
"151","Willy Wonka and the Chocolate Factory (1971)","Willy Wonka and the Chocolate Factory（1971）.jpg","1971","exists","File already exists"
"152","Sleeper (1973)","Sleeper（1973）.jpg","1973","downloaded","https://image.tmdb.org/t/p/w500/YTYSziZZP5aXt5CDvdEMwKDzme.jpg"
"153","Fish Called Wanda, A (1988)","Fish Called Wanda A（1988）.jpg","1988","exists","File already exists"
"154","Monty Python's Life of Brian (1979)","Monty Pythons Life of Brian（1979）.jpg","1979","downloaded","https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg"
"155","Dirty Dancing (1987)","Dirty Dancing（1987）.jpg","1987","downloaded","https://image.tmdb.org/t/p/w500/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg"
"156","Reservoir Dogs (1992)","Reservoir Dogs（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg"
"157","Platoon (1986)","Platoon（1986）.jpg","1986","downloaded","https://image.tmdb.org/t/p/w500/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg"
"158","Weekend at Bernie's (1989)","Weekend at Bernies（1989）.jpg","1989","downloaded","https://image.tmdb.org/t/p/w500/4RtjBkBSqHG46uieHgTtM7oKlpo.jpg"
"159","Basic Instinct (1992)","Basic Instinct（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg"
"160","Glengarry Glen Ross (1992)","Glengarry Glen Ross（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/zcaEDx8KlVfh4vKfMNLhiSi5Oz4.jpg"
"161","Top Gun (1986)","Top Gun（1986）.jpg","1986","exists","File already exists"
"162","On Golden Pond (1981)","On Golden Pond（1981）.jpg","1981","downloaded","https://image.tmdb.org/t/p/w500/ic4f03J6pnf9cpQmVDABFhUpbCU.jpg"
"163","Return of the Pink Panther, The (1974)","Return of the Pink Panther The（1974）.jpg","1974","downloaded","https://image.tmdb.org/t/p/w500/vMyjHGfCT89RpwLeN7ofmfgDru7.jpg"
"164","Abyss, The (1989)","Abyss The（1989）.jpg","1989","exists","File already exists"
"165","Jean de Florette (1986)","Jean de Florette（1986）.jpg","1986","downloaded","https://image.tmdb.org/t/p/w500/atjyDRdOnOi2S28X3mNtJ7CQmFj.jpg"
"166","Manon of the Spring (Manon des sources) (1986)","Manon of the Spring Manon des sources（1986）.jpg","1986","downloaded","https://image.tmdb.org/t/p/w500/1qpu6Zc1PSDL3UbDNIZJ6YuhJDW.jpg"
"167","Private Benjamin (1980)","Private Benjamin（1980）.jpg","1980","downloaded","https://image.tmdb.org/t/p/w500/maIiPNXddZXKHQCi0HyULd5kces.jpg"
"168","Monty Python and the Holy Grail (1974)","Monty Python and the Holy Grail（1974）.jpg","1974","exists","File already exists"
"169","Wrong Trousers, The (1993)","Wrong Trousers The（1993）.jpg","1993","exists","File already exists"
"170","Cinema Paradiso (1988)","Cinema Paradiso（1988）.jpg","1988","exists","File already exists"
"171","Delicatessen (1991)","Delicatessen（1991）.jpg","1991","exists","File already exists"
"172","Empire Strikes Back, The (1980)","Empire Strikes Back The（1980）.jpg","1980","exists","File already exists"
"173","Princess Bride, The (1987)","Princess Bride The（1987）.jpg","1987","exists","File already exists"
"174","Raiders of the Lost Ark (1981)","Raiders of the Lost Ark（1981）.jpg","1981","downloaded","https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg"
"175","Brazil (1985)","Brazil（1985）.jpg","1985","downloaded","https://image.tmdb.org/t/p/w500/aewan59WcFThBimkTVVoNf2o5Vb.jpg"
"176","Aliens (1986)","Aliens（1986）.jpg","1986","exists","File already exists"
"177","Good, The Bad and The Ugly, The (1966)","Good The Bad and The Ugly The（1966）.jpg","1966","exists","File already exists"
"178","12 Angry Men (1957)","12 Angry Men（1957）.jpg","1957","downloaded","https://image.tmdb.org/t/p/w500/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg"
"179","Clockwork Orange, A (1971)","Clockwork Orange A（1971）.jpg","1971","downloaded","https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg"
"180","Apocalypse Now (1979)","Apocalypse Now（1979）.jpg","1979","downloaded","https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg"
"181","Return of the Jedi (1983)","Return of the Jedi（1983）.jpg","1983","downloaded","https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg"
"182","GoodFellas (1990)","GoodFellas（1990）.jpg","1990","downloaded","https://image.tmdb.org/t/p/w500/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg"
"183","Alien (1979)","Alien（1979）.jpg","1979","exists","File already exists"
"184","Army of Darkness (1993)","Army of Darkness（1993）.jpg","1993","exists","File already exists"
"185","Psycho (1960)","Psycho（1960）.jpg","1960","downloaded","https://image.tmdb.org/t/p/w500/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg"
"186","Blues Brothers, The (1980)","Blues Brothers The（1980）.jpg","1980","exists","File already exists"
"187","Godfather: Part II, The (1974)","Godfather Part II The（1974）.jpg","1974","downloaded","https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg"
"188","Full Metal Jacket (1987)","Full Metal Jacket（1987）.jpg","1987","exists","File already exists"
"189","Grand Day Out, A (1992)","Grand Day Out A（1992）.jpg","1992","exists","File already exists"
"190","Henry V (1989)","Henry V（1989）.jpg","1989","downloaded","https://image.tmdb.org/t/p/w500/w9R2HsYNnfF3m9uEo2UAmPNJr8a.jpg"
"191","Amadeus (1984)","Amadeus（1984）.jpg","1984","downloaded","https://image.tmdb.org/t/p/w500/gQRfiyfGvr1az0quaYyMram3Aqt.jpg"
"192","Raging Bull (1980)","Raging Bull（1980）.jpg","1980","downloaded","https://image.tmdb.org/t/p/w500/1WV7WlTS8LI1L5NkCgjWT9GSW3O.jpg"
"193","Right Stuff, The (1983)","Right Stuff The（1983）.jpg","1983","downloaded","https://image.tmdb.org/t/p/w500/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg"
"194","Sting, The (1973)","Sting The（1973）.jpg","1973","exists","File already exists"
"195","Terminator, The (1984)","Terminator The（1984）.jpg","1984","exists","File already exists"
"196","Dead Poets Society (1989)","Dead Poets Society（1989）.jpg","1989","downloaded","https://image.tmdb.org/t/p/w500/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg"
"197","Graduate, The (1967)","Graduate The（1967）.jpg","1967","downloaded","https://image.tmdb.org/t/p/w500/8XaDpF0COV1MLsDirJMnxmYc1Wp.jpg"
"198","Nikita (La Femme Nikita) (1990)","Nikita La Femme Nikita（1990）.jpg","1990","downloaded","https://image.tmdb.org/t/p/w500/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg"
"199","Bridge on the River Kwai, The (1957)","Bridge on the River Kwai The（1957）.jpg","1957","downloaded","https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg"
"200","Shining, The (1980)","Shining The（1980）.jpg","1980","downloaded","https://image.tmdb.org/t/p/w500/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg"
"201","Evil Dead II (1987)","Evil Dead II（1987）.jpg","1987","exists","File already exists"
"202","Groundhog Day (1993)","Groundhog Day（1993）.jpg","1993","exists","File already exists"
"203","Unforgiven (1992)","Unforgiven（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg"
"204","Back to the Future (1985)","Back to the Future（1985）.jpg","1985","exists","File already exists"
"205","Patton (1970)","Patton（1970）.jpg","1970","downloaded","https://image.tmdb.org/t/p/w500/rLM7jIEPTjj4CF7F1IrzzNjLUCu.jpg"
"206","Akira (1988)","Akira（1988）.jpg","1988","exists","File already exists"
"207","Cyrano de Bergerac (1990)","Cyrano de Bergerac（1990）.jpg","1990","exists","File already exists"
"208","Young Frankenstein (1974)","Young Frankenstein（1974）.jpg","1974","downloaded","https://image.tmdb.org/t/p/w500/3BvvVKPg9yucChlSvQtJxAbLmj9.jpg"
"209","This Is Spinal Tap (1984)","This Is Spinal Tap（1984）.jpg","1984","downloaded","https://image.tmdb.org/t/p/w500/b3lllDltoBws5uKZzBYVSjpjjJx.jpg"
"210","Indiana Jones and the Last Crusade (1989)","Indiana Jones and the Last Crusade（1989）.jpg","1989","exists","File already exists"
"211","M*A*S*H (1970)","MASH（1970）.jpg","1970","downloaded","https://image.tmdb.org/t/p/w500/on8Q9LhtHYNhmITjUMpgOUkIG8o.jpg"
"212","Unbearable Lightness of Being, The (1988)","Unbearable Lightness of Being The（1988）.jpg","1988","downloaded","https://image.tmdb.org/t/p/w500/g1kPEwATsCI8DnGx6ViAhUVKQSI.jpg"
"213","Room with a View, A (1986)","Room with a View A（1986）.jpg","1986","downloaded","https://image.tmdb.org/t/p/w500/5xRAqywVo6tNUNQbAESGVP930la.jpg"
"214","Pink Floyd - The Wall (1982)","Pink Floyd The Wall（1982）.jpg","1982","downloaded","https://image.tmdb.org/t/p/w500/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg"
"215","Field of Dreams (1989)","Field of Dreams（1989）.jpg","1989","downloaded","https://image.tmdb.org/t/p/w500/oeM7nAw6FVFICwUaXKCRkDsKjqO.jpg"
"216","When Harry Met Sally... (1989)","When Harry Met Sally（1989）.jpg","1989","downloaded","https://image.tmdb.org/t/p/w500/rFOiFUhTMtDetqCGClC9PIgnC1P.jpg"
"217","Bram Stoker's Dracula (1992)","Bram Stokers Dracula（1992）.jpg","1992","downloaded","https://image.tmdb.org/t/p/w500/4ZbUxjY5DZ7RCxGwvzSEr4rThd1.jpg"
"218","Cape Fear (1991)","Cape Fear（1991）.jpg","1991","downloaded","https://image.tmdb.org/t/p/w500/meJZAAuVcjic2ipvbOPz5UlE4P9.jpg"
